Location_ID,Latitude,Longitude,LatLong
1,-32.16689969,150.8919751,"-32.16689969,150.8919751"
2,-32.16688641,150.8919573,"-32.16688641,150.8919573"
3,-32.9337056,151.7204518,"-32.9337056,151.7204518"
4,-32.93341396,151.7203632,"-32.93341396,151.7203632"
5,-32.93340162,151.7203474,"-32.93340162,151.7203474"
6,-32.93382729,151.7202364,"-32.93382729,151.7202364"
7,-34.56340933,150.79939,"-34.56340933,150.79939"
8,-34.56350712,150.7991893,"-34.56350712,150.7991893"
9,-34.56293995,150.798574,"-34.56293995,150.798574"
10,-34.56278202,150.7984185,"-34.56278202,150.7984185"
11,-33.96996874,151.1149448,"-33.96996874,151.1149448"
12,-33.969537269999996,151.1146945,"-33.969537269999996,151.1146945"
13,-33.96949011,151.1145667,"-33.96949011,151.1145667"
14,-33.96987782,151.1144352,"-33.96987782,151.1144352"
15,-33.96988689,151.1142405,"-33.96988689,151.1142405"
16,-33.9020453,151.1381593,"-33.9020453,151.1381593"
17,-33.9020497,151.1380434,"-33.9020497,151.1380434"
18,-33.93692447,151.1474278,"-33.93692447,151.1474278"
19,-33.93696302,151.1474227,"-33.93696302,151.1474227"
20,-33.93677457,151.1468602,"-33.93677457,151.1468602"
21,-33.93671781,151.1468509,"-33.93671781,151.1468509"
22,-33.80823377,151.1847419,"-33.80823377,151.1847419"
23,-33.80875941,151.1847201,"-33.80875941,151.1847201"
24,-33.80854065,151.1844285,"-33.80854065,151.1844285"
25,-33.88744211,151.1259581,"-33.88744211,151.1259581"
26,-33.88739665,151.1258025,"-33.88739665,151.1258025"
27,-33.88789161,151.1257974,"-33.88789161,151.1257974"
28,-33.887775,151.1255397,"-33.887775,151.1255397"
29,-33.68869132,151.1082656,"-33.68869132,151.1082656"
30,-33.68848916,151.1079991,"-33.68848916,151.1079991"
31,-33.8492876,151.0332914,"-33.8492876,151.0332914"
32,-33.849663,151.0329192,"-33.849663,151.0329192"
33,-33.84946375,151.0327209,"-33.84946375,151.0327209"
34,-34.3065205,150.9293511,"-34.3065205,150.9293511"
35,-34.30650136,150.9289071,"-34.30650136,150.9289071"
36,-33.0129167,151.5421589,"-33.0129167,151.5421589"
37,-33.01291676,151.5421328,"-33.01291676,151.5421328"
38,-33.01310914,151.5420747,"-33.01310914,151.5420747"
39,-33.94490035,151.140849,"-33.94490035,151.140849"
40,-33.94479129,151.1404987,"-33.94479129,151.1404987"
41,-33.94488347,151.1404482,"-33.94488347,151.1404482"
42,-33.91768635,151.0342697,"-33.91768635,151.0342697"
43,-33.91805216,151.03411,"-33.91805216,151.03411"
44,-33.91778824,151.0337625,"-33.91778824,151.0337625"
45,-33.93137824,151.125379,"-33.93137824,151.125379"
46,-34.29097858,150.5801756,"-34.29097858,150.5801756"
47,-34.29098411,150.5801501,"-34.29098411,150.5801501"
48,-34.29100778,150.5800205,"-34.29100778,150.5800205"
49,-34.29104476,150.5800077,"-34.29104476,150.5800077"
50,-33.74921627,151.0667339,"-33.74921627,151.0667339"
51,-33.74904472,151.0663377,"-33.74904472,151.0663377"
52,-33.74923381,151.0662247,"-33.74923381,151.0662247"
53,-33.5061656,150.2793612,"-33.5061656,150.2793612"
54,-33.50623435,150.2790794,"-33.50623435,150.2790794"
55,-34.36261281,150.9101311,"-34.36261281,150.9101311"
56,-33.91724884,151.0883372,"-33.91724884,151.0883372"
57,-33.91722736,151.0883244,"-33.91722736,151.0883244"
58,-33.8719773,151.0328288,"-33.8719773,151.0328288"
59,-33.87139384,151.0323272,"-33.87139384,151.0323272"
60,-32.79940714,151.6585784,"-32.79940714,151.6585784"
61,-32.79958398,151.658334,"-32.79958398,151.658334"
62,-32.79947121,151.6581617,"-32.79947121,151.6581617"
63,-33.62291449,151.1535638,"-33.62291449,151.1535638"
64,-33.62300205,151.1531421,"-33.62300205,151.1531421"
65,-34.78027342,150.6967235,"-34.78027342,150.6967235"
66,-33.94914069,151.0808676,"-33.94914069,151.0808676"
67,-33.94913026,151.0808291,"-33.94913026,151.0808291"
68,-33.94926254,151.0804784,"-33.94926254,151.0804784"
69,-33.9374812,151.1139261,"-33.9374812,151.1139261"
70,-33.89253644,151.0243134,"-33.89253644,151.0243134"
71,-33.63397248,150.2845903,"-33.63397248,150.2845903"
72,-33.63400546,150.2842535,"-33.63400546,150.2842535"
73,-33.76777702,150.9080196,"-33.76777702,150.9080196"
74,-33.7677336,150.9079689,"-33.7677336,150.9079689"
75,-33.76775412,150.9079614,"-33.76775412,150.9079614"
76,-33.76894183,150.9073054,"-33.76894183,150.9073054"
77,-33.76896727,150.9072963,"-33.76896727,150.9072963"
78,-33.7678292,150.9071472,"-33.7678292,150.9071472"
79,-33.76889928,150.9070828,"-33.76889928,150.9070828"
80,-33.76903303,150.9069899,"-33.76903303,150.9069899"
81,-33.76779802,150.9069245,"-33.76779802,150.9069245"
82,-33.74369934,150.6099627,"-33.74369934,150.6099627"
83,-33.74366205,150.6098058,"-33.74366205,150.6098058"
84,-33.7438036,150.6096862,"-33.7438036,150.6096862"
85,-33.74411767,150.6093887,"-33.74411767,150.6093887"
86,-33.74404944,150.6093287,"-33.74404944,150.6093287"
87,-34.85374494,150.6097702,"-34.85374494,150.6097702"
88,-34.65868669,150.8537686,"-34.65868669,150.8537686"
89,-34.65885576,150.8537564,"-34.65885576,150.8537564"
90,-33.89103017,151.2485965,"-33.89103017,151.2485965"
91,-33.89186986,151.2483663,"-33.89186986,151.2483663"
92,-33.89099409,151.2482086,"-33.89099409,151.2482086"
93,-32.97169903,151.605168,"-32.97169903,151.605168"
94,-32.97190014,151.6047908,"-32.97190014,151.6047908"
95,-34.47792483,150.4169743,"-34.47792483,150.4169743"
96,-34.47763745,150.4167974,"-34.47763745,150.4167974"
97,-34.47841685,150.4165949,"-34.47841685,150.4165949"
98,-34.47837068,150.4165765,"-34.47837068,150.4165765"
99,-34.47827715,150.4163947,"-34.47827715,150.4163947"
100,-34.47822202,150.4163793,"-34.47822202,150.4163793"
101,-32.66221027,151.3459324,"-32.66221027,151.3459324"
102,-32.66209242,151.3455358,"-32.66209242,151.3455358"
103,-32.92269277,151.7354129,"-32.92269277,151.7354129"
104,-32.92216413,151.7352213,"-32.92216413,151.7352213"
105,-32.92289153,151.7350658,"-32.92289153,151.7350658"
106,-32.92236891,151.7349462,"-32.92236891,151.7349462"
107,-33.72351988,150.4152013,"-33.72351988,150.4152013"
108,-33.72316759,150.4149891,"-33.72316759,150.4149891"
109,-34.33384472,150.9150696,"-34.33384472,150.9150696"
110,-34.3338201,150.9149316,"-34.3338201,150.9149316"
111,-34.33428666,150.9149143,"-34.33428666,150.9149143"
112,-34.33433961,150.9146887,"-34.33433961,150.9146887"
113,-34.6557524,150.2997407,"-34.6557524,150.2997407"
114,-34.65604988,150.2995728,"-34.65604988,150.2995728"
115,-34.49418601,150.3981296,"-34.49418601,150.3981296"
116,-34.49418573,150.3978582,"-34.49418573,150.3978582"
117,-33.87704552,151.1038525,"-33.87704552,151.1038525"
118,-33.87718853,151.1038248,"-33.87718853,151.1038248"
119,-33.89464265,150.9391047,"-33.89464265,150.9391047"
120,-33.89480632,150.9390481,"-33.89480632,150.9390481"
121,-33.89459892,150.9388134,"-33.89459892,150.9388134"
122,-33.89494229,150.9387321,"-33.89494229,150.9387321"
123,-33.89510227,150.9386596,"-33.89510227,150.9386596"
124,-33.81918103,151.024141,"-33.81918103,151.024141"
125,-34.06418971,150.8148139,"-34.06418971,150.8148139"
126,-34.06359144,150.8147393,"-34.06359144,150.8147393"
127,-34.06369952,150.8146228,"-34.06369952,150.8146228"
128,-34.06367954,150.8146141,"-34.06367954,150.8146141"
129,-34.06302424,150.8144097,"-34.06302424,150.8144097"
130,-34.06320084,150.8143088,"-34.06320084,150.8143088"
131,-34.06332332,150.8140219,"-34.06332332,150.8140219"
132,-33.91049597,151.103574,"-33.91049597,151.103574"
133,-33.91039285,151.1035577,"-33.91039285,151.1035577"
134,-33.88744308,150.9436897,"-33.88744308,150.9436897"
135,-33.88746282,150.9436297,"-33.88746282,150.9436297"
136,-33.88723441,150.9434805,"-33.88723441,150.9434805"
137,-33.88734662,150.9434198,"-33.88734662,150.9434198"
138,-33.9121163,151.1190137,"-33.9121163,151.1190137"
139,-33.87970841,151.2055584,"-33.87970841,151.2055584"
140,-33.87980415,151.205512,"-33.87980415,151.205512"
141,-32.9412794,151.6628198,"-32.9412794,151.6628198"
142,-32.94145731,151.6623011,"-32.94145731,151.6623011"
143,-32.94140925,151.6622554,"-32.94140925,151.6622554"
144,-34.04162513,151.1219142,"-34.04162513,151.1219142"
145,-34.04157881,151.121856,"-34.04157881,151.121856"
146,-33.78217116,151.047273,"-33.78217116,151.047273"
147,-33.7821273,151.0468442,"-33.7821273,151.0468442"
148,-33.78270924,151.046786,"-33.78270924,151.046786"
149,-33.78287488,151.0466571,"-33.78287488,151.0466571"
150,-33.78304357,151.0463511,"-33.78304357,151.0463511"
151,-33.96842236,151.1245362,"-33.96842236,151.1245362"
152,-33.96801021,151.1243905,"-33.96801021,151.1243905"
153,-33.96846874,151.1243442,"-33.96846874,151.1243442"
154,-33.96809212,151.1242377,"-33.96809212,151.1242377"
155,-33.96798067,151.1241795,"-33.96798067,151.1241795"
156,-33.88476847,150.9607298,"-33.88476847,150.9607298"
157,-33.88431636,150.9605645,"-33.88431636,150.9605645"
158,-33.95004957,150.9121379,"-33.95004957,150.9121379"
159,-33.95035283,150.9120798,"-33.95035283,150.9120798"
160,-33.9501874,150.9117283,"-33.9501874,150.9117283"
161,-33.95036803,150.9117058,"-33.95036803,150.9117058"
162,-33.9503293,150.9116866,"-33.9503293,150.9116866"
163,-33.88352173,151.2079563,"-33.88352173,151.2079563"
164,-33.88371032,151.2078995,"-33.88371032,151.2078995"
165,-33.88378577,151.207862,"-33.88378577,151.207862"
166,-33.88302433,151.2070762,"-33.88302433,151.2070762"
167,-33.8832082,151.2070112,"-33.8832082,151.2070112"
168,-33.88353624,151.2069711,"-33.88353624,151.2069711"
169,-33.88253976,151.2068849,"-33.88253976,151.2068849"
170,-33.88541283,151.2068475,"-33.88541283,151.2068475"
171,-33.88544474,151.206822,"-33.88544474,151.206822"
172,-33.88547844,151.2067901,"-33.88547844,151.2067901"
173,-33.88233009,151.2065038,"-33.88233009,151.2065038"
174,-33.88210298,151.2061254,"-33.88210298,151.2061254"
175,-33.88213747,151.2060987,"-33.88213747,151.2060987"
176,-33.88236674,151.2058136,"-33.88236674,151.2058136"
177,-33.88398512,151.2042663,"-33.88398512,151.2042663"
178,-33.79722746,151.1814421,"-33.79722746,151.1814421"
179,-33.79718558,151.1814287,"-33.79718558,151.1814287"
180,-33.79677523,151.1813805,"-33.79677523,151.1813805"
181,-33.79673649,151.1813641,"-33.79673649,151.1813641"
182,-33.79717607,151.1813031,"-33.79717607,151.1813031"
183,-33.79765173,151.1812637,"-33.79765173,151.1812637"
184,-33.79766719,151.1811813,"-33.79766719,151.1811813"
185,-33.79673526,151.1811761,"-33.79673526,151.1811761"
186,-33.79689881,151.1807121,"-33.79689881,151.1807121"
187,-33.7979301,151.1806933,"-33.7979301,151.1806933"
188,-33.79709534,151.1806738,"-33.79709534,151.1806738"
189,-33.797903,151.180647,"-33.797903,151.180647"
190,-33.79705047,151.1805363,"-33.79705047,151.1805363"
191,-33.79701563,151.1805215,"-33.79701563,151.1805215"
192,-33.75539745,151.0781497,"-33.75539745,151.0781497"
193,-33.75543909,151.0781092,"-33.75543909,151.0781092"
194,-33.88368818,151.0004627,"-33.88368818,151.0004627"
195,-33.86146378,151.2107945,"-33.86146378,151.2107945"
196,-33.86127776,151.2107739,"-33.86127776,151.2107739"
197,-33.86143954,151.2107457,"-33.86143954,151.2107457"
198,-33.86124347,151.2107343,"-33.86124347,151.2107343"
199,-33.86146637,151.2107121,"-33.86146637,151.2107121"
200,-33.86131441,151.2106592,"-33.86131441,151.2106592"
201,-33.86131245,151.2106239,"-33.86131245,151.2106239"
202,-33.86138049,151.2106156,"-33.86138049,151.2106156"
203,-33.86125995,151.2105656,"-33.86125995,151.2105656"
204,-33.86139905,151.2103289,"-33.86139905,151.2103289"
205,-33.60844245,150.7878928,"-33.60844245,150.7878928"
206,-33.60848854,150.787844,"-33.60848854,150.787844"
207,-33.60859421,150.7877637,"-33.60859421,150.7877637"
208,-33.83554673,151.0170387,"-33.83554673,151.0170387"
209,-33.83606198,151.0165639,"-33.83606198,151.0165639"
210,-34.24253571,150.977052,"-34.24253571,150.977052"
211,-32.94246711,151.6244306,"-32.94246711,151.6244306"
212,-32.94287548,151.6238126,"-32.94287548,151.6238126"
213,-34.28989285,150.943031,"-34.28989285,150.943031"
214,-34.00454075,151.0683305,"-34.00454075,151.0683305"
215,-34.00437623,151.068248,"-34.00437623,151.068248"
216,-34.00447157,151.0676891,"-34.00447157,151.0676891"
217,-33.84809272,151.0859526,"-33.84809272,151.0859526"
218,-33.84803171,151.0859019,"-33.84803171,151.0859019"
219,-33.84821375,151.0852126,"-33.84821375,151.0852126"
220,-33.84808986,151.0851995,"-33.84808986,151.0851995"
221,-33.84795404,151.0851904,"-33.84795404,151.0851904"
222,-34.43823905,150.8851205,"-34.43823905,150.8851205"
223,-34.43796566,150.884845,"-34.43796566,150.884845"
224,-33.87286403,151.1981517,"-33.87286403,151.1981517"
225,-34.37549456,150.9051489,"-34.37549456,150.9051489"
226,-34.37567312,150.9048905,"-34.37567312,150.9048905"
227,-33.59298034,151.171638,"-33.59298034,151.171638"
228,-33.5937893,151.1715651,"-33.5937893,151.1715651"
229,-34.46708061,150.8799583,"-34.46708061,150.8799583"
230,-34.46737362,150.8782723,"-34.46737362,150.8782723"
231,-34.05684046,151.1517217,"-34.05684046,151.1517217"
232,-34.05572731,151.1515991,"-34.05572731,151.1515991"
233,-34.05535773,151.1514348,"-34.05535773,151.1514348"
234,-33.88283666,151.1155154,"-33.88283666,151.1155154"
235,-33.8831857,151.1150828,"-33.8831857,151.1150828"
236,-34.4923588,150.7922224,"-34.4923588,150.7922224"
237,-34.49307785,150.7918339,"-34.49307785,150.7918339"
238,-34.49348285,150.7914602,"-34.49348285,150.7914602"
239,-34.493435,150.7913065,"-34.493435,150.7913065"
240,-33.79951928,151.0867539,"-33.79951928,151.0867539"
241,-33.93362671,151.1805736,"-33.93362671,151.1805736"
242,-33.93356911,151.1805681,"-33.93356911,151.1805681"
243,-33.93400809,151.1801419,"-33.93400809,151.1801419"
244,-33.93400343,151.1801133,"-33.93400343,151.1801133"
245,-33.93398698,151.1800496,"-33.93398698,151.1800496"
246,-33.76401541,150.8692816,"-33.76401541,150.8692816"
247,-33.76362795,150.8692347,"-33.76362795,150.8692347"
248,-33.0838231,151.5010419,"-33.0838231,151.5010419"
249,-33.08411433,151.5008644,"-33.08411433,151.5008644"
250,-33.08402158,151.500698,"-33.08402158,151.500698"
251,-34.18323382,150.7105466,"-34.18323382,150.7105466"
252,-34.18330344,150.7105388,"-34.18330344,150.7105388"
253,-33.904761,151.1390021,"-33.904761,151.1390021"
254,-33.9047721,151.1389753,"-33.9047721,151.1389753"
255,-33.9106718,151.1405847,"-33.9106718,151.1405847"
256,-33.9106266,151.1405558,"-33.9106266,151.1405558"
257,-33.80402698,151.0331103,"-33.80402698,151.0331103"
258,-33.80388354,151.0329178,"-33.80388354,151.0329178"
259,-33.80389499,151.0328954,"-33.80389499,151.0328954"
260,-33.80339752,151.032467,"-33.80339752,151.032467"
261,-32.40255754,151.759385,"-32.40255754,151.759385"
262,-32.40249309,151.759251,"-32.40249309,151.759251"
263,-33.96201112,150.9847269,"-33.96201112,150.9847269"
264,-33.96157358,150.9844493,"-33.96157358,150.9844493"
265,-33.96164228,150.9843435,"-33.96164228,150.9843435"
266,-33.96173087,150.9842552,"-33.96173087,150.9842552"
267,-32.74457268,151.5874741,"-32.74457268,151.5874741"
268,-33.60180319,150.7588294,"-33.60180319,150.7588294"
269,-33.6017457,150.7587291,"-33.6017457,150.7587291"
270,-33.78992993,151.0826671,"-33.78992993,151.0826671"
271,-33.79041058,151.0826361,"-33.79041058,151.0826361"
272,-33.79017064,151.0825639,"-33.79017064,151.0825639"
273,-33.79014905,151.0820022,"-33.79014905,151.0820022"
274,-33.79014802,151.0819726,"-33.79014802,151.0819726"
275,-33.87893677,151.236154,"-33.87893677,151.236154"
276,-33.96930476,150.8588642,"-33.96930476,150.8588642"
277,-33.96936246,150.8588449,"-33.96936246,150.8588449"
278,-33.74577768,150.6714125,"-33.74577768,150.6714125"
279,-33.74552422,150.6713807,"-33.74552422,150.6713807"
280,-33.74582701,150.6713326,"-33.74582701,150.6713326"
281,-33.74565742,150.6712836,"-33.74565742,150.6712836"
282,-34.06753979,151.0148428,"-34.06753979,151.0148428"
283,-34.06719539,151.0147353,"-34.06719539,151.0147353"
284,-34.06776904,151.0146815,"-34.06776904,151.0146815"
285,-34.06738183,151.0145516,"-34.06738183,151.0145516"
286,-33.77254801,151.0822785,"-33.77254801,151.0822785"
287,-33.77284112,151.0818724,"-33.77284112,151.0818724"
288,-33.77265225,151.0818045,"-33.77265225,151.0818045"
289,-33.77291584,151.0816408,"-33.77291584,151.0816408"
290,-33.77272037,151.0815679,"-33.77272037,151.0815679"
291,-33.90005302,151.1855565,"-33.90005302,151.1855565"
292,-34.61346677,150.3177998,"-34.61346677,150.3177998"
293,-34.61337723,150.3173592,"-34.61337723,150.3173592"
294,-33.87677819,151.1994751,"-33.87677819,151.1994751"
295,-33.87678771,151.1992504,"-33.87678771,151.1992504"
296,-33.87255271,150.957049,"-33.87255271,150.957049"
297,-33.87250991,150.9570068,"-33.87250991,150.9570068"
298,-33.87228222,150.9568998,"-33.87228222,150.9568998"
299,-33.87238918,150.9568642,"-33.87238918,150.9568642"
300,-33.87264464,150.9568189,"-33.87264464,150.9568189"
301,-33.87249718,150.956712,"-33.87249718,150.956712"
302,-34.39509691,150.8965771,"-34.39509691,150.8965771"
303,-34.39505996,150.8964522,"-34.39505996,150.8964522"
304,-32.98567466,151.5812081,"-32.98567466,151.5812081"
305,-32.98568106,151.5811753,"-32.98568106,151.5811753"
306,-32.98557663,151.5808417,"-32.98557663,151.5808417"
307,-33.69681647,150.5349352,"-33.69681647,150.5349352"
308,-33.69678014,150.5349261,"-33.69678014,150.5349261"
309,-33.69654047,150.534819,"-33.69654047,150.534819"
310,-33.69633199,150.534567,"-33.69633199,150.534567"
311,-33.69636984,150.5344309,"-33.69636984,150.5344309"
312,-33.87046367,151.1921783,"-33.87046367,151.1921783"
313,-33.87076898,151.1916529,"-33.87076898,151.1916529"
314,-33.86515478,151.0706765,"-33.86515478,151.0706765"
315,-33.86389281,151.0702391,"-33.86389281,151.0702391"
316,-34.74477882,150.8176504,"-34.74477882,150.8176504"
317,-33.87707686,151.1875647,"-33.87707686,151.1875647"
318,-33.87729496,151.187253,"-33.87729496,151.187253"
319,-33.76902646,150.6212638,"-33.76902646,150.6212638"
320,-33.97207776,150.8935775,"-33.97207776,150.8935775"
321,-33.97173912,150.893269,"-33.97173912,150.893269"
322,-33.97228674,150.8932557,"-33.97228674,150.8932557"
323,-33.97183034,150.8931736,"-33.97183034,150.8931736"
324,-33.9724757,150.8931251,"-33.9724757,150.8931251"
325,-33.75598413,151.1548641,"-33.75598413,151.1548641"
326,-33.75535054,151.154396,"-33.75535054,151.154396"
327,-33.75612016,151.1541758,"-33.75612016,151.1541758"
328,-33.75596499,151.1540965,"-33.75596499,151.1540965"
329,-33.75568255,151.1539778,"-33.75568255,151.1539778"
330,-33.42348002,151.3419443,"-33.42348002,151.3419443"
331,-33.42348165,151.341911,"-33.42348165,151.341911"
332,-33.4233302,151.3414142,"-33.4233302,151.3414142"
333,-33.42338314,151.3414013,"-33.42338314,151.3414013"
334,-34.75901982,149.7205882,"-34.75901982,149.7205882"
335,-34.75812698,149.7192494,"-34.75812698,149.7192494"
